"SAMPLE_ID","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","COLLECTOR_SP","UPDATED_SP","REGION","STATE","LOCATION","LAT","LON"
"SAMAR_42800_Ct_stra","ABTC9042",NA,"SAMAR_42800",NA,"Ctenotus","strauchii","strauchii","Australia","QLD","22k W Diamantina Station",-23.66667,140.9667
"SAMAR_42955_Ct_stra","ABTC9202",NA,"SAMAR_42955",NA,"Ctenotus","strauchii","strauchii","Australia","QLD","Betoota",-25.68333,140.7333
"SAMR_45029_Ct_stra","ABTC34967","SAM45029","SAMR_45029",NA,"Ctenotus","strauchii","strauchii","Australia","SA","1.9k E Hislopp Dam",-26.385,140.345
"SAMAR_41349_Ct_stra","ABTC40026","SAMAR41349","SAMAR_41349",NA,"Ctenotus","strauchii","strauchii","Australia","SA","Mustering Dam",-33.60278,139.6278
"SAMAR_42343_Ct_stra","ABTC57669","SAMAR42343","SAMAR_42343",NA,"Ctenotus","strauchii","strauchii","Australia","SA","4.5k W Johnsons Dam on Station track",-30.56667,139.35
"NA_ABTC113898_Ct_stra","ABTC113898",NA,"QMJ_90800",NA,"Ctenotus","strauchii","strauchii","Australia","QLD","5.3k SW Ballards tank, Plevna Downs",-26.76278,142.5239
"SAMR_44903_Ct_stra","ABTC34809","SAM44903","SAMR_44903","STRAA34809","Ctenotus","strauchii","strauchii","Australia","SA","5k ENE Dulkaninna",-29,138.505556
"SAMR_44955_Ct_stra","ABTC34858","SAM44955","SAMR_44955","STRAA34858","Ctenotus","strauchii","strauchii","Australia","SA","1.5k SW Reedy Springs",-29.545,139.4117
"SAMAR_37916_Ct_stra","ABTC57004","SAMAR37916","SAMAR_37916",NA,"Ctenotus","strauchii","strauchii","Australia","SA","6k W Bopeechee near Lake Eyre South",-29.55833,137.325
"SAMR_46857_Ct_stra","ABTC35912","SAM46857","SAMR_46857","STRAA35912","Ctenotus","strauchii","strauchii","Australia","SA","10.9k NW Bitchera WH",-26.524,134.4419
"SAMAR_34780_Ct_stra","ABTC16689",NA,"SAMAR_34780",NA,"Ctenotus","strauchii","strauchii","Australia","SA","Lake Eyre",-31.63333,137.6167
"SAMAR_48386_Ct_stra","ABTC36859","SAMAR48386","SAMAR_48386",NA,"Ctenotus","strauchii","strauchii","Australia","SA","Mount Barry Station",-28.21056,134.6414
"SAMR_42487_Ct_stra","ABTC34061","SAM42487","SAMR_42487","STRAA34061","Ctenotus","strauchii","strauchii","Australia","SA","1.5k E Wire Creek Bore",-27.257,135.505
"CUMV_14858_Ct_calu","DLR0118","CU14858","CUMV_14858","CALUDLR0118","Ctenotus","calurus","calurus","Australia","WA","Lorna Glen Stn, Western Australia",-26.226,121.5575
"CUMV_14851_Ct_calu","DLR0261","CU14851","CUMV_14851","CALUDLR0261","Ctenotus","calurus","calurus","Australia","WA","Yamarna Stn, Western Australia",-28.133,123.8667
"NTMR_14947_Ct_calu","ABTC14658",NA,"NTMR_14947",NA,"Ctenotus","calurus","calurus","Australia","NT","Sangster's Bore  Tanami desert",-20.867,130.267
"SAMR_62029_Ct_calu","ABTC91579","SAM62029","SAMR_62029","CALUA91579","Ctenotus","calurus","calurus","Australia","WA","3.2k N Pungkulpirri Waterhole, Walter James Range",-24.6286,128.7556
"SAMAR_57213_Ct_calu","ABTC95336","SAMAR57213","SAMAR_57213",NA,"Ctenotus","calurus","calurus","Australia","SA","23.9k E Vokes Hill Corner",-28.57111,130.9253
"WAMR_166440_Ct_calu","ABTC91777","WAM166440","WAMR_166440",NA,"Ctenotus","calurus","calurus","Australia","WA","18.3k ENE Blackstone",-25.9308,128.4494
"SAMAR_48785_Ct_calu","ABTC42067","SAMAR48785","SAMAR_48785",NA,"Ctenotus","calurus","calurus","Australia","SA","6.6k WNW Mt Lindsay",-27.06083,129.8239
"SAMAR_48699_Ct_calu","ABTC42024","SAMAR48699","SAMAR_48699",NA,"Ctenotus","calurus","calurus","Australia","SA","1.8k NNW Mt Lindsay",-27.01417,129.87
"SAMAR_45381_Ct_calu","ABTC58161","SAMAR45381","SAMAR_45381",NA,"Ctenotus","calurus","calurus","Australia","SA","21k E Maryinna Hill",-26.95333,131.4353
"NA_ABTC89250_Ct_broo","ABTC89250",NA,"SAMAR_61213",NA,"Ctenotus","brooksi","cf. euclae","Australia","SA","Munyaroo CP",-33.37139,137.1769
"SAMAR_36575_Ct_eucl","ABTC56794","SAMAR36575","SAMAR_36575",NA,"Ctenotus","euclae","euclae","Australia","SA","7.5k NNW Courtabie",-33.175,134.825
"SAMAR_56672_Ct_broo","ABTC95959","SAMAR56672","SAMAR_56672",NA,"Ctenotus","brooksi","cf. euclae","Australia","SA","5.1k ENE Corrobinnie Hill",-32.96417,135.7872
"SAMAR_25688_Ct_eucl","ABTC40740","SAMAR25688","SAMAR_25688",NA,"Ctenotus","euclae","euclae","Australia","SA","near Yalata Roadhouse",-31.49222,131.2667
"SAMR_46072_Ct_eucl","ABTC58330","SAM46072","SAMR_46072","EUCLA58330","Ctenotus","euclae","euclae","Australia","SA","L Gilles CP",-33.093,136.693889
"SAMAR_61390_Ct_eucl","ABTC89365","SAMAR61390","SAMAR_61390",NA,"Ctenotus","euclae","euclae","Australia","SA","19.6k WSW Charra",-32.14722,133.1417
"SAMR_44934_Ct_taen","ABTC34819","SAM44934","SAMR_44934","TAENA34819","Ctenotus","taeniatus","taeniatus","Australia","SA","10k SE Dalarinna Hill",-29.758,138.667778
"SAMAR_39563_Ct_taen","ABTC34360","SAMAR39563","SAMAR_39563",NA,"Ctenotus","taeniatus","taeniatus","Australia","SA","14k SE Baan Hill",-35.62389,140.4789
"SAMAR_36034_Ct_taen","ABTC17040",NA,"SAMAR_36034",NA,"Ctenotus","taeniatus","taeniatus","Australia","SA","Lake Palankarinna",-28.75,138.4667
"QM_62377_Ct_broo","ABTC32193","QM62377","QM_62377","BROOA32193","Ctenotus","brooksi","cf. taeniatus","Australia","QLD","Durrie Stn QLD",-25.65,140.233333
"SAMAR_47257_Ct_taen","ABTC36350","SAMAR47257","SAMAR_47257",NA,"Ctenotus","taeniatus","taeniatus","Australia","SA","9k NNW Four Hills Trig  Peake Station",-28.4325,136.4533
"SAMAR_42658_Ct_taen","ABTC8918",NA,"SAMAR_42658",NA,"Ctenotus","taeniatus","taeniatus","Australia","QLD","Cacoory Ruins",-25.23333,139.55
"SAMR_35905_Ct_taen","ABTC00507","SAM35905","SAMR_35905","TAENA00507","Ctenotus","taeniatus","taeniatus","Australia","SA","2k W Purni Bore campsite",-26.283,136.083333
"CUMV_14408_Ct_broo","DLR0492","CU14408","CUMV_14408","BROODLR0492","Ctenotus","brooksi","brooksi","Australia","WA","Yamarna Stn, Western Australia",-28.133,123.8667
"NA_DLR0549_Ct_broo","DLR0549",NA,"no_voucher",NA,"Ctenotus","brooksi","cf. brooksi","Australia","WA","Yamarna Stn, Western Australia",-28.133,123.8667
"SAMAR_58943_Ct_broo","ABTC80716","SAMAR58943","SAMAR_58943",NA,"Ctenotus","brooksi","brooksi","Australia","SA","57.6k WNW Oak Valley",-29.08639,130.2689
"SAMAR_32029_Ct_broo","ABTC64116","SAMAR32029","SAMAR_32029",NA,"Ctenotus","brooksi","brooksi","Australia","SA","Immarna Siding",-30.58556,132.2392
