SAMPLE_ID,TISSUE_ID,REGO,VOUCHER,ALTERNATIVE_ID,GENUS,SPECIES,UPDATED_SP,REGION,LOCATION,STATE,LAT,LON,VoucherNotes
CUMV_14666_Le_dese,DLR0047,CU14666,CUMV_14666,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14667_Le_dese,DLR0089,CU14667,CUMV_14667,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14668_Le_dese,DLR0117,CU14668,CUMV_14668,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14669_Le_dese,DLR0129,CU14669,CUMV_14669,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14670_Le_dese,DLR0154,CU14670,CUMV_14670,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14671_Le_dese,DLR0172,CU14671,CUMV_14671,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14672_Le_dese,DLR0168,CU14672,CUMV_14672,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14673_Le_dese,DLR0189,CU14673,CUMV_14673,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14674_Le_dese,DLR0195,CU14674,CUMV_14674,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14681_Ct_scho,DLR0032,CU14681,CUMV_14681,SCHODLR0032,Ctenotus,schomburgkii,schomburgkii,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14688_Ct_scho,DLR0656,CU14688,CUMV_14688,NA,Ctenotus,schomburgkii,uber,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14700_Ct_scho,DLR0370,CU14700,CUMV_14700,SCHODLR0370,Ctenotus,schomburgkii,schomburgkii,Australia,"Lake Mason Stn, Western Australia",WA,-27.586,119.5208,NA
CUMV_14730_Ct_leon,DLR0039,CU14730,CUMV_14730,LEONDLR0039,Ctenotus,leonhardii,leonhardii,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14742_Ct_leon,DLR0367,CU14742,CUMV_14742,LEONDLR0367,Ctenotus,leonhardii,leonhardii,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14744_Ct_leon,DLR0371,CU14744,CUMV_14744,LEONDLR0371,Ctenotus,leonhardii,leonhardii,Australia,"Lake Mason Stn, Western Australia",WA,-27.586,119.5208,NA
CUMV_14811_Ct_aria,DLR0045,CU14811,CUMV_14811,ARIADLR0045,Ctenotus,ariadnae,ariadnae,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14812_Ct_aria,DLR0196,CU14812,CUMV_14812,ARIADLR0196,Ctenotus,ariadnae,ariadnae,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14817_Ct_quat,DLR0395,CU14817,CUMV_14817,QUATDLR0395,Ctenotus,quattuordecimlineatus,quattuordecimlineatus,Australia,"Lake Mason Stn, Western Australia",WA,-27.586,119.5208,NA
CUMV_14820_Ct_quat,DLR0411,CU14820,CUMV_14820,QUATDLR0411,Ctenotus,quattuordecimlineatus,quattuordecimlineatus,Australia,"Lake Mason Stn, Western Australia",WA,-27.586,119.5208,NA
