"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","cluster_12","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"SAMAR_42708_Ct_pulc",9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"cluster_6",0.998901,"ABTC8955",NA,"SAMAR_42708",NA,"Ctenotus","pulchellus","pulchellus","Australia","Mica Creek  near Mount Isa","QLD",-20.76667,139.4833,NA
"SAMAR_42776_Ct_hebe",9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_3",0.998901,"ABTC9018",NA,"SAMAR_42776",NA,"Ctenotus","hebetior","hebetior","Australia","GLEN KYREE Station  S WINTON","QLD",-22.96667,142.9,NA
"SAMAR_42788_Ct_hebe",9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"cluster_3",0.998901,"ABTC9030",NA,"SAMAR_42788",NA,"Ctenotus","hebetior","hebetior","Australia","Diamantina Station dump","QLD",-23.75,141.1333,NA
"SAMAR_42823_Ct_asta",9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_4",0.998901,"ABTC9068",NA,"SAMAR_42823",NA,"Ctenotus","astarte","astarte","Australia","Springvale dump","QLD",-23.55,140.6833,NA
"SAMAR_42840_Ct_asta",9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"cluster_4",0.998901,"ABTC9085",NA,"SAMAR_42840",NA,"Ctenotus","astarte","astarte","Australia","Mt Windsor","QLD",-23.63333,141.6667,NA
"SAMAR_42843_Ct_asta",9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_4",0.998901,"ABTC9088",NA,"SAMAR_42843",NA,"Ctenotus","astarte","astarte","Australia","59k E Mt Windsor","QLD",-23.63333,142.2,NA
"SAMAR_42880_Ct_hebe",9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_3",0.998901,"ABTC9124",NA,"SAMAR_42880",NA,"Ctenotus","hebetior","hebetior","Australia","30k E NOONBAH Station","QLD",-24.11667,143.4167,NA
"SAMAR_42903_Ct_asta",9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"cluster_4",0.998901,"ABTC9149",NA,"SAMAR_42903",NA,"Ctenotus","astarte","astarte","Australia","24k W Birdsville turnoff","QLD",-25.56667,141.5167,NA
"SAMAR_42949_Ct_orie",9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_4",0.998901,"ABTC9196",NA,"SAMAR_42949",NA,"Ctenotus","orientalis","astarte","Australia","9k W Betoota","QLD",-25.75,140.7167,NA
"SAMAR_42950_Ct_orie",9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_4",0.998901,"ABTC9197",NA,"SAMAR_42950",NA,"Ctenotus","orientalis","astarte","Australia","Betoota","QLD",-25.68333,140.7333,NA
