"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","ID"
9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,0.999201,9.99336e-05,9.99336e-05,9.99336e-05,"SAMR_33876_Ct_robu"
0.0507878,0.725072,9.9959e-05,9.9959e-05,0.0262477,9.9959e-05,9.9959e-05,0.197393,9.9959e-05,"SAMR_36252_Ct_brac"
9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,"SAMR_36313_Ct_robu"
9.99343e-05,0.999201,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,"SAMR_36349_Ct_brac"
0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"SAMR_38776_Ct_saxa"
9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,"SAMR_39480_Ct_robu"
9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,"SAMR_40718_Ct_robu"
9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,"SAMR_42758_Ct_late"
9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"SAMR_44367_Ct_hele"
9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,"SAMR_45480_Ct_saxa"
9.99342e-05,0.999201,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,"SAMR_46119_Ct_hele"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,"SAMR_46204_Ct_robu"
9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"SAMR_46880_Ct_saxa"
9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,"SAMR_48684_Ct_robu"
9.9934e-05,0.999201,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,"SAMR_48710_Ct_hele"
9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,"SAMR_48962_Ct_robu"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,"SAMR_49609_Ct_robu"
9.99428e-05,0.769197,9.99428e-05,9.99428e-05,0.230103,9.99428e-05,9.99428e-05,9.99428e-05,9.99428e-05,"SAMR_50208_Ct_saxa"
9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,0.999201,9.99336e-05,9.99336e-05,9.99336e-05,"SAMR_50372_Ct_robu"
9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,"SAMR_52303_Ct_robu"
0.999201,9.99345e-05,9.99345e-05,9.99345e-05,9.99345e-05,9.99345e-05,9.99345e-05,9.99345e-05,9.99345e-05,"SAMR_53975_Ct_saxa"
9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"SAMR_54340_Ct_late"
9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"SAMR_54434_Ct_late"
9.99346e-05,9.99346e-05,9.99346e-05,9.99346e-05,9.99346e-05,9.99346e-05,0.999201,9.99346e-05,9.99346e-05,"SAMR_55725_Ct_spal"
9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,0.999201,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,"SAMR_65407_Ct_late"
9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,"SAMR_65416_Ct_late"
9.99343e-05,0.999201,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,"UMMZ_242614_Ct_hele"
9.99344e-05,0.999201,9.99344e-05,9.99344e-05,9.99344e-05,9.99344e-05,9.99344e-05,9.99344e-05,9.99344e-05,"UMMZ_242616_Ct_hele"
9.99348e-05,0.999201,9.99348e-05,9.99348e-05,9.99348e-05,9.99348e-05,9.99348e-05,9.99348e-05,9.99348e-05,"UMMZ_242623_Ct_hele"
9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"UMMZ_242624_Ct_inor"
9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"UMMZ_242629_Ct_inor"
9.99343e-05,9.99343e-05,9.99343e-05,0.999201,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,"UMMZ_242630_Ct_inor"
9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"UMMZ_244288_ct_inor"
9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"WAMR_094929_Ct_hele"
9.9934e-05,0.999201,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,"WAMR_102423_Ct_saxa"
9.9934e-05,0.999201,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,"WAMR_102771_Ct_hele"
9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"WAMR_108698_Ct_saxa"
9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"WAMR_108745_Ct_saxa"
9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,"WAMR_108816_Ct_saxa"
9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,"WAMR_126017_Ct_inor"
9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"WAMR_129923_Ct_hele"
9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"WAMR_131009_Ct_hele"
9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"WAMR_131018_Ct_fall"
9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"WAMR_131371_Ct_hele"
9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"WAMR_132522_Ct_saxa"
9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"WAMR_132682_Ct_saxa"
9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,"WAMR_132686_Ct_saxa"
9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,"WAMR_132723_Ct_saxa"
9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"WAMR_135396_Ct_hele"
9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"WAMR_137950_Ct_robu"
9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"WAMR_139005_Ct_saxa"
9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,"WAMR_140720_Ct_hele"
9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"WAMR_145567_Ct_hele"
9.99427e-05,0.882567,9.99427e-05,9.99427e-05,0.116733,9.99427e-05,9.99427e-05,9.99427e-05,9.99427e-05,"WAMR_152991_Ct_seve"
9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"WAMR_153812_Ct_saxa"
9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,"WAMR_166390_Ct_hele"
9.99346e-05,0.999201,9.99346e-05,9.99346e-05,9.99346e-05,9.99346e-05,9.99346e-05,9.99346e-05,9.99346e-05,"WAMR_166391_Ct_hele"
