"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","ID"
9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,0.999001,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,"SAMR_48772_Ct_quat"
9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMR_48964_Ct_olym"
0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMR_49090_Ct_leon"
0.986016,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,0.0130848,9.99207e-05,"SAMR_51082_Ct_leon"
0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMR_51580_Ct_leon"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,"SAMR_55163_Ct_regi"
0.00680344,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,0.992297,9.99208e-05,9.99208e-05,"SAMR_55678_Ct_hebe"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,"SAMR_58939_Ct_quat"
9.99472e-05,9.99472e-05,9.99472e-05,0.036583,0.937426,0.00272699,9.99472e-05,9.99472e-05,0.00354505,9.99472e-05,0.0191192,"SAMR_62088_Ct_quat"
0.055545,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,0.943556,9.99208e-05,"SAMR_62131_Ct_leon"
0.0683608,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,0.93074,9.99208e-05,9.99208e-05,"SAMR_65346_Ct_hebe"
0.0295747,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,0.969526,9.99207e-05,9.99207e-05,"SAMR_65347_Ct_hebe"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,"SAMR_65379_Ct_hebe"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,9.99117e-05,"SAMR_65380_Ct_hebe"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,"UMMZ_242606_Ct_aust"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,"UMMZ_242607_Ct_aust"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"UMMZ_242645_Ct_quat"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"UMMZ_242646_Ct_quat"
9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"WAMR_112780_Ct_orie"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,"WAMR_115114_Ct_aust"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,"WAMR_115119_Ct_aust"
9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,0.999001,9.9912e-05,"WAMR_117303_Ct_leon"
0.03697,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,0.962131,9.99207e-05,"WAMR_119774_Ct_leon"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"WAMR_127432_Ct_quat"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,"WAMR_129973_Ct_leon"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,"WAMR_131785_Ct_leon"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"WAMR_139532_Ct_iape"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,"WAMR_144639_Ct_leon"
9.99648e-05,9.99648e-05,0.0340159,0.0145557,9.99648e-05,0.00605054,9.99648e-05,0.0123115,0.0131986,0.913257,0.00621082,"WAMR_166448_Ct_leon"
