"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"SAMAR_46452_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC35608","SAMAR46452","SAMAR_46452",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","3.3k NNE Strangways Springs","SA",-29.13694,136.5664,NA
"SAMAR_47257_Ct_taen",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"cluster_6",0.9993,"ABTC36350","SAMAR47257","SAMAR_47257",NA,"Ctenotus","taeniatus","taeniatus","Australia","9k NNW Four Hills Trig  Peake Station","SA",-28.4325,136.4533,NA
"SAMAR_48325_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC36606","SAMAR48325","SAMAR_48325",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","8k NE Wompinie","SA",-32.01417,140.8422,NA
"SAMAR_48354_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC36652","SAMAR48354","SAMAR_48354",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","3k S Starvation Dam","SA",-30.46306,140.9447,NA
"SAMAR_48386_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC36859","SAMAR48386","SAMAR_48386",NA,"Ctenotus","strauchii","strauchii","Australia","Mount Barry Station","SA",-28.21056,134.6414,NA
"SAMAR_48699_Ct_calu",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"cluster_8",0.9993,"ABTC42024","SAMAR48699","SAMAR_48699",NA,"Ctenotus","calurus","calurus","Australia","1.8k NNW Mt Lindsay","SA",-27.01417,129.87,NA
"SAMAR_48785_Ct_calu",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"cluster_8",0.9993,"ABTC42067","SAMAR48785","SAMAR_48785",NA,"Ctenotus","calurus","calurus","Australia","6.6k WNW Mt Lindsay","SA",-27.06083,129.8239,NA
"SAMAR_49141_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC58605","SAMAR49141","SAMAR_49141",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","below Iron Knight South","SA",-33.22194,137.1086,NA
"SAMAR_50062_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC38011","SAMAR50062","SAMAR_50062",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","74k E Purni Bore","SA",-26.32472,136.8394,NA
"SAMAR_50902_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC38305","SAMAR50902","SAMAR_50902",NA,"Ctenotus","strauchii","strauchii","Australia","18.9k NNW Murda Hill","SA",-26.78667,138.3025,NA
