ID,cluster,group
SAMAR_31877_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_31889_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_32054_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_32289_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_36086_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_38335_Ct_orie,leonhardii_gr_cluster_2,leonhardii_gr
SAMAR_38585_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_39580_Ct_orie,leonhardii_gr_cluster_2,leonhardii_gr
SAMAR_40597_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_40799_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_40888_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_41282_Ct_olym,leonhardii_gr_cluster_7,leonhardii_gr
SAMAR_42675_Ct_pulc,leonhardii_gr_cluster_6,leonhardii_gr
SAMAR_42701_Ct_pulc,leonhardii_gr_cluster_6,leonhardii_gr
SAMAR_42708_Ct_pulc,leonhardii_gr_cluster_6,leonhardii_gr
SAMAR_42776_Ct_hebe,leonhardii_gr_cluster_3,leonhardii_gr
SAMAR_42788_Ct_hebe,leonhardii_gr_cluster_3,leonhardii_gr
SAMAR_42823_Ct_asta,leonhardii_gr_cluster_4,leonhardii_gr
SAMAR_42840_Ct_asta,leonhardii_gr_cluster_4,leonhardii_gr
SAMAR_42843_Ct_asta,leonhardii_gr_cluster_4,leonhardii_gr
SAMAR_42880_Ct_hebe,leonhardii_gr_cluster_3,leonhardii_gr
SAMAR_42903_Ct_asta,leonhardii_gr_cluster_4,leonhardii_gr
SAMAR_42949_Ct_orie,leonhardii_gr_cluster_4,leonhardii_gr
SAMAR_42950_Ct_orie,leonhardii_gr_cluster_4,leonhardii_gr
SAMAR_43599_Ct_olym,leonhardii_gr_cluster_7,leonhardii_gr
SAMAR_43880_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_44654_Ct_olym,leonhardii_gr_cluster_7,leonhardii_gr
SAMAR_45620_Ct_olym,leonhardii_gr_cluster_7,leonhardii_gr
SAMAR_45966_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_46332_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_48098_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_49444_Ct_orie,leonhardii_gr_cluster_2,leonhardii_gr
SAMAR_51242_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_51421_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_51431_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_52787_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_52918_Ct_orie,leonhardii_gr_cluster_2,leonhardii_gr
SAMAR_53967_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_54164_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_54242_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_55677_Ct_hebe,leonhardii_gr_cluster_3,leonhardii_gr
SAMAR_57181_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_57722_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMAR_61391_Ct_orie,leonhardii_gr_cluster_2,leonhardii_gr
SAMAR_62424_Ct_orie,leonhardii_gr_cluster_7,leonhardii_gr
SAMAR_66522_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMR_22246_Ct_leon,leonhardii_gr_cluster_11,leonhardii_gr
SAMR_36241_Ct_hele,leonhardii_gr_cluster_10,leonhardii_gr
SAMR_42708_Ct_pulc,leonhardii_gr_cluster_6,leonhardii_gr
SAMR_42772_Ct_pulc,leonhardii_gr_cluster_6,leonhardii_gr
SAMR_43844_Ct_quat,leonhardii_gr_cluster_12,leonhardii_gr
SAMR_44403_Ct_quat,leonhardii_gr_cluster_12,leonhardii_gr
SAMR_46944_Ct_leon,leonhardii_gr_cluster_11,leonhardii_gr
SAMR_47236_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMR_48330_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMR_48771_Ct_gree,leonhardii_gr_cluster_9,leonhardii_gr
SAMR_48772_Ct_quat,leonhardii_gr_cluster_12,leonhardii_gr
SAMR_48964_Ct_olym,leonhardii_gr_cluster_7,leonhardii_gr
SAMR_49090_Ct_leon,leonhardii_gr_cluster_11,leonhardii_gr
SAMR_51082_Ct_leon,leonhardii_gr_cluster_11,leonhardii_gr
SAMR_51580_Ct_leon,leonhardii_gr_cluster_11,leonhardii_gr
SAMR_55163_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
SAMR_55678_Ct_hebe,leonhardii_gr_cluster_3,leonhardii_gr
SAMR_58939_Ct_quat,leonhardii_gr_cluster_12,leonhardii_gr
SAMR_62088_Ct_quat,leonhardii_gr_cluster_12,leonhardii_gr
SAMR_62131_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
SAMR_65346_Ct_hebe,leonhardii_gr_cluster_3,leonhardii_gr
SAMR_65347_Ct_hebe,leonhardii_gr_cluster_3,leonhardii_gr
SAMR_65379_Ct_hebe,leonhardii_gr_cluster_3,leonhardii_gr
SAMR_65380_Ct_hebe,leonhardii_gr_cluster_3,leonhardii_gr
UMMZ_242606_Ct_aust,leonhardii_gr_cluster_5,leonhardii_gr
UMMZ_242607_Ct_aust,leonhardii_gr_cluster_5,leonhardii_gr
UMMZ_242645_Ct_quat,leonhardii_gr_cluster_12,leonhardii_gr
UMMZ_242646_Ct_quat,leonhardii_gr_cluster_12,leonhardii_gr
WAMR_112780_Ct_orie,leonhardii_gr_cluster_2,leonhardii_gr
WAMR_115114_Ct_aust,leonhardii_gr_cluster_5,leonhardii_gr
WAMR_115119_Ct_aust,leonhardii_gr_cluster_5,leonhardii_gr
WAMR_117303_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
WAMR_119774_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
WAMR_127432_Ct_quat,leonhardii_gr_cluster_12,leonhardii_gr
